Restaurant,City,Google Places ID,TPV 90 Days,Red Flags,Cohort,email? 
Doubles,Amagansett,ChIJxU5E7NG96IkR9V2_Tz5I2Bc,$0.00,No Bill.com,BB2,
Spice Room,Arvada,ChIJ76sGhuHa4cR8E9lfgYNG2o,$0.00,0 Checkins; No Bill.com,BB1,
Heroic Italian,Berkeley,ChIJR3fT5lZ_hYARDrqriwIbMck,$0.00,0 Checkins; No Bill.com,BB1,
River and Woods,Boulder,ChIJ95XpIdXta4cR6fyBr15LAvs,$0.00,No Bill.com,BB1,
Alidoro,Brooklyn,,$0.00,No Bill.com,BB2,
Cafe Blackbird at FarCon,Brooklyn,,$0.00,0 Checkins; TPV ↓ 20%+; No Bill.com,BB2,
Cafe Mado Coffee Counter,Brooklyn,ChIJrwTqaQBbwokRaKiQfAWdG4,$0.00,No Bill.com,BB2,
Congress Bar,Brooklyn,ChIJy_M6GlBawokRMQEnqU8EHOg,$0.00,No Bill.com,BB3,
Field Guide,Brooklyn,ChIJUTzXSlZwokRdkWxMsGNxFs,$0.00,0 Checkins; No Bill.com,BB1,
Fred's Dog House,Brooklyn,ChIJEcTXd2NZwokRgVij9B5UW0A,$0.00,No Bill.com,BB3,
Gelato Di Evelina,Brooklyn,ChIJzae3_LlbwokR6ts6PCZ3agM,$0.00,No Bill.com,BB2,
Hank’s Bar,Brooklyn,ChIJUaV7uSBdwokRV5qtT0t87r0,$0.00,No Bill.com,BB1,
Hatch,Brooklyn,ChIJwe5xho5bwokR5eXB83PBJM4,$0.00,No Bill.com,BB3,
Honey's,Brooklyn,ChIJCUYnOaZewokR65XinqjplXE,$0.00,No Bill.com,BB3,
Iwak Sushi,Brooklyn,,$0.00,No Bill.com,BB1,
Kato Sake Works,Brooklyn,ChIJHw_6mipdwokRyqTdA16wSE0,$0.00,No Bill.com,BB1,
La Newyorkina,Brooklyn,ChIJJ4dQEWBawokRKThH6VuPK8Q,$0.00,TPV ↓ 20%+; No Bill.com,BB2,
Little Egg,Brooklyn,ChIJedHcr1FbwokRbjAPXjAg4o,$0.00,No Bill.com,BB1,
Masalawala & Sons,Brooklyn,ChIJHYhISIVbwokRNcIdAD0mKjQ,$0.00,No Bill.com,BB1,
MEILI 沉香,Brooklyn,ChIJ7_3mQABZwokRKrRL8Uy1Fic,$0.00,No Bill.com,BB1,
MEILI 沉香 Rooftop,Brooklyn,ChIJ7_3mQABZwokRKrRL8Uy1Fic,$0.00,No Bill.com,BB1,
Montesacro,Brooklyn,,$0.00,0 Checkins; No Bill.com,BB1,
Olmo,Brooklyn,ChIJIYMm9JldwokR3JTojl_rf8A,$0.00,No Bill.com,BB1,
Park Slope Ale House,Brooklyn,ChIJwyH4GwJbwokRO0x0jD_unvw,$0.00,No Bill.com,BB3,
Poppy's,Brooklyn,,$0.00,0 Checkins; No Bill.com; 2 Failed Payments,BB2,
Poppy's,Brooklyn,,$0.00,0 Checkins; No Bill.com,BB2,
Putnam's Pub,Brooklyn,,$0.00,0 Checkins; No Bill.com,BB3,
R.Slice,Brooklyn,ChIJ65H5eABZwokRi1pVbvaiwxY,$0.00,0 Checkins; No Bill.com,BB2,
Republic Latin Fusion,Brooklyn,ChIJn0_pmCpZwokRAnOcDOHTook,$0.00,No Bill.com,BB1,
Runner Up,Brooklyn,ChIJa7TQMZFbwokRjivvo3SFNDQ,$0.00,No Bill.com,BB1,
Stone Street Coffee Company,Brooklyn,ChIJTXOfvSlZwokRN_ZPNFLRDdY,$0.00,No Bill.com,BB2,
The Commodore,Brooklyn,,$0.00,0 Checkins; No Bill.com,BB3,
The Ox,Brooklyn,ChIJB7fvEKVZwokRylYesyLZxv8,$0.00,No Bill.com,BB1,
The Test Brewery,Brooklyn,ChIJYflFPQBZwokRLloJXYjDNEA,$0.00,TPV ↓ 20%+; No Bill.com,BB3,
Vacations BK,Brooklyn,ChIJoU9LeClfwokRko_XGzUc6cc,$0.00,No Bill.com,BB1,
Veselka,Brooklyn,ChIJZyqIQwBZwokR1lSPyPdTLoM,$0.00,No Bill.com,BB1,
Bar Jade,Brooklyn,ChIJw3jKA2JdwokRah99c9WHeuY,$16.00,Account Healthy,BB3,
Witching Hour,Brooklyn,ChIJv8gOfoldwokRV_GezFwAyDA,$43.00,Account Healthy,BB3,
No Sleep Cafe @ Thief,Brooklyn,,$53.00,TPV ↓ 20%+; No Bill.com; 1 Failed Payments,BB2,
Falansai,Brooklyn,ChIJc11gFQJcwokRcOejfRbBPpo,$85.00,No Bill.com,BB1,
Bistronomy by Nico,Charleston,,$0.00,0 Checkins; No Bill.com,BB1,
Florence's,Charleston,,$0.00,0 Checkins; TPV ↓ 20%+; No Bill.com,BB1,
Philosophers & Fools,Charleston,,$0.00,TPV ↓ 20%+; No Bill.com,BB1,
The Daily,Charleston,ChIJDdSww0J6_ogRvvj8m1N0UbY,$0.00,No Bill.com; 1 Failed Payments,BB2,
Veranda Lounge,Charleston,ChIJaZ77_iZ7_ogRkIbToV7u2Hs,$36.00,TPV ↓ 20%+; No Bill.com,BB1,
Sra. Martinez,Coral Gables,ChIJE71m6CK32YgRvzVM73VTlts,$0.00,0 Checkins; No Bill.com,BB1,
A5 Steakhouse,Denver,ChIJHcFz6t5bIcR2mOREy6UcMo,$0.00,No Bill.com,BB1,
Aviano Coffee,Denver,ChIJP4uBb5dbIcRTlk0fcYHVc0,$0.00,0 Checkins; No Bill.com,BB3,
Aviano Coffee,Denver,ChIJP4uBb5dbIcRTlk0fcYHVc0,$0.00,0 Checkins; No Bill.com,BB3,
Ay Papi,Denver,ChIJTeei4QB_bIcRch5TDIYq5DQ,$0.00,No Bill.com,BB1,
Bar Amorina,Denver,ChIJAQBwd5ZbIcRJ_RfXyqxcE,$0.00,No Bill.com,BB1,
Bierstadt Lagerhaus,Denver,ChIJAchlax55bIcRwYpXUARI_Rk,$0.00,0 Checkins; No Bill.com,BB1,
Chef's Lounge Founders,Denver,ChIJS_vG1dF4bIcRHT1cH_igaM,$0.00,No Bill.com,BB1,
Corsica Wine Bar,Denver,ChIJl26sKwB5bIcRPSsfRER0_bg,$0.00,No Bill.com,BB1,
Forget Me Not,Denver,ChIJT14h_Y5_bIcRS5yTNFUsEKI,$0.00,No Bill.com,BB1,
Kumoya,Denver,ChIJU4pNM6N5bIcRmmTR2FgPuDc,$0.00,No Bill.com,BB1,
Pint Brothers,Denver,ChIJIVIEP2GbIcR_jgqSOF0Yfw,$0.00,0 Checkins; No Bill.com,BB1,
Restaurant Olivia,Denver,ChIJhX90ku9bIcRdBE6VQRav6g,$0.00,0 Checkins; No Bill.com,BB1,
Spice Room,Denver,ChIJ76sGhuHa4cR8E9lfgYNG2o,$0.00,0 Checkins; No Bill.com,BB1,
Spice Room,Denver,ChIJ76sGhuHa4cR8E9lfgYNG2o,$0.00,0 Checkins; No Bill.com,BB1,
Tacos Tequila Whiskey,Denver,ChIJf4b8dxp5bIcRSiXR0HEQ7xU,$0.00,0 Checkins; No Bill.com,BB1,
Tap & Burger,Denver,ChIJMxG526KHbIcRH8Qv62Ug5I0,$0.00,0 Checkins; No Bill.com,BB1,
Tap & Burger,Denver,ChIJMxG526KHbIcRH8Qv62Ug5I0,$0.00,0 Checkins; No Bill.com,BB1,
The Counter at Odell's,Denver,ChIJ96H_sqh5bIcR0x4LDwxYZNU,$0.00,No Bill.com,BB1,
Mister Oso,Denver,ChIJb5FzHxHta4cReR_gXny0wDs,$11.00,Account Healthy,BB1,
Catbird Kitchen,Denver,ChIJb5O0PRB5bIcRfoGf0CQ7tTw,$59.00,No Bill.com,BB1,
Luchador taco & more,Denver,ChIJUXazLgB5bIcRUIZorL4LMFU,$91.00,No Bill.com,BB1,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Carissa's Bakery,East Hampton,,$0.00,0 Checkins; No Bill.com,BB2,
Amélie Cafe,Fairfax,ChIJOfCgTy6XhYARwvFlBSyBpLQ,$0.00,0 Checkins; No Bill.com,BB1,
Sandwich Monkey,Foster City,ChIJX2apKgCBhYARX5H5uwaQ8TU,$0.00,0 Checkins; No Bill.com,BB1,
Happy Tuna,Happy Tuna Storefront,ChIJCZT1d3BZwokRRxKdusrnfjs,$0.00,No Bill.com,BB2,
